epoch,reward,entropy
0,30.25,0.0
1,14.125,0.0
2,21.375,0.0
3,18.875,0.0
4,18.0,0.0
5,21.25,0.0
6,16.375,0.0
7,22.75,0.0
8,23.125,0.0
9,26.75,0.0
10,19.625,0.0
11,21.0,0.0
12,17.5,0.0
13,26.0,0.0
14,19.875,0.0
15,24.5,0.0
16,18.75,0.0
17,35.75,0.0
18,20.875,0.0
19,22.25,0.0
20,23.375,0.0
21,22.75,0.0
22,22.25,0.0
23,25.625,0.0
24,22.125,0.0
25,24.25,0.0
26,29.0,0.0
27,19.625,0.0
28,28.75,0.0
29,19.5,0.0
30,23.75,0.0
31,18.5,0.0
32,19.0,0.0
33,33.0,0.0
34,28.25,0.0
35,19.5,0.0
36,16.25,0.0
37,28.75,0.0
38,28.375,0.0
39,17.0,0.0
40,19.125,0.0
41,20.375,0.0
42,31.25,0.0
43,24.375,0.0
44,26.0,0.0
45,26.125,0.0
46,29.0,0.0
47,36.375,0.0
48,22.0,0.0
49,36.375,0.0
50,25.75,0.0
51,26.25,0.0
52,24.375,0.0
53,38.5,0.0
54,24.5,0.0
55,30.75,0.0
56,24.375,0.0
57,33.125,0.0
58,27.75,0.0
59,25.5,0.0
60,29.75,0.0
61,24.75,0.0
62,42.875,0.0
63,27.25,0.0
64,25.875,0.0
65,28.125,0.0
66,32.25,0.0
67,36.125,0.0
68,25.75,0.0
69,28.375,0.0
70,32.0,0.0
71,34.875,0.0
72,25.75,0.0
73,27.375,0.0
74,30.875,0.0
75,36.625,0.0
76,33.0,0.0
77,22.125,0.0
78,27.75,0.0
79,37.875,0.0
80,45.75,0.0
81,40.75,0.0
82,27.0,0.0
83,44.375,0.0
84,43.375,0.0
85,49.5,0.0
86,36.875,0.0
87,36.125,0.0
88,43.0,0.0
89,25.25,0.0
90,38.25,0.0
91,23.5,0.0
92,25.125,0.0
93,31.25,0.0
94,25.625,0.0
95,36.125,0.0
96,39.625,0.0
97,40.75,0.0
98,25.0,0.0
99,38.625,0.0
100,35.5,0.0
101,41.25,0.0
102,30.5,0.0
103,27.375,0.0
104,29.375,0.0
105,32.5,0.0
106,36.25,0.0
107,29.875,0.0
108,31.125,0.0
109,41.75,0.0
110,27.625,0.0
111,37.25,0.0
112,34.25,0.0
113,40.125,0.0
114,40.125,0.0
115,44.125,0.0
116,38.5,0.0
117,52.5,0.0
118,32.375,0.0
119,38.375,0.0
120,45.25,0.0
121,43.0,0.0
122,40.5,0.0
123,28.0,0.0
124,55.375,0.0
125,34.0,0.0
126,60.5,0.0
127,41.375,0.0
128,37.0,0.0
129,42.625,0.0
130,51.5,0.0
131,32.125,0.0
132,58.875,0.0
133,56.375,0.0
134,32.625,0.0
135,44.5,0.0
136,37.25,0.0
137,45.25,0.0
138,41.5,0.0
139,57.375,0.0
140,40.875,0.0
141,49.0,0.0
142,27.0,0.0
143,63.25,0.0
144,41.875,0.0
145,57.625,0.0
146,50.625,0.0
147,67.0,0.0
148,48.75,0.0
149,54.0,0.0
150,35.125,0.0
151,69.25,0.0
152,62.0,0.0
153,45.125,0.0
154,51.375,0.0
155,55.125,0.0
156,49.0,0.0
157,46.25,0.0
158,59.375,0.0
159,44.5,0.0
160,41.625,0.0
161,37.5,0.0
162,57.5,0.0
163,57.625,0.0
164,79.25,0.0
165,38.875,0.0
166,44.0,0.0
167,57.0,0.0
168,57.875,0.0
169,62.125,0.0
170,49.625,0.0
171,73.875,0.0
172,68.875,0.0
173,39.5,0.0
174,62.5,0.0
175,43.625,0.0
176,48.125,0.0
177,75.75,0.0
178,52.625,0.0
179,50.625,0.0
180,64.5,0.0
181,41.125,0.0
182,56.75,0.0
183,68.25,0.0
184,68.625,0.0
185,95.5,0.0
186,36.25,0.0
187,41.0,0.0
188,66.25,0.0
189,54.75,0.0
190,61.25,0.0
191,75.625,0.0
192,81.5,0.0
193,69.75,0.0
194,54.0,0.0
195,54.75,0.0
196,49.75,0.0
197,67.125,0.0
198,79.875,0.0
199,61.0,0.0
200,53.0,0.0
201,56.125,0.0
202,58.125,0.0
203,45.5,0.0
204,49.25,0.0
205,56.875,0.0
206,67.875,0.0
207,99.625,0.0
208,65.875,0.0
209,53.75,0.0
210,48.5,0.0
211,80.25,0.0
212,81.75,0.0
213,53.75,0.0
214,97.125,0.0
215,108.375,0.0
216,75.875,0.0
217,78.375,0.0
218,65.625,0.0
219,74.375,0.0
220,92.125,0.0
221,80.375,0.0
