epoch,reward,entropy
0,18.5,0.0
1,17.25,0.0
2,18.75,0.0
3,17.5,0.0
4,15.25,0.0
5,19.375,0.0
6,26.75,0.0
7,20.625,0.0
8,24.375,0.0
9,18.25,0.0
10,19.5,0.0
11,24.125,0.0
12,21.25,0.0
13,23.0,0.0
14,19.75,0.0
15,19.375,0.0
16,19.125,0.0
17,25.125,0.0
18,25.875,0.0
19,22.125,0.0
20,20.375,0.0
21,27.625,0.0
22,31.875,0.0
23,25.0,0.0
24,30.375,0.0
25,36.625,0.0
26,39.75,0.0
27,32.125,0.0
28,29.375,0.0
29,26.875,0.0
30,42.125,0.0
31,21.375,0.0
32,32.75,0.0
33,26.0,0.0
34,18.125,0.0
35,26.125,0.0
36,23.875,0.0
37,26.0,0.0
38,30.75,0.0
39,39.25,0.0
40,46.375,0.0
41,23.875,0.0
42,30.875,0.0
43,39.5,0.0
44,34.375,0.0
45,41.75,0.0
46,34.625,0.0
47,28.75,0.0
48,29.125,0.0
49,31.375,0.0
50,35.25,0.0
51,30.125,0.0
52,33.5,0.0
53,29.875,0.0
54,27.5,0.0
55,24.0,0.0
56,25.375,0.0
57,43.5,0.0
58,29.75,0.0
59,35.75,0.0
60,36.625,0.0
61,36.375,0.0
62,52.375,0.0
63,21.625,0.0
64,33.125,0.0
65,39.25,0.0
66,42.0,0.0
67,42.625,0.0
68,41.875,0.0
69,44.5,0.0
70,43.5,0.0
71,43.25,0.0
72,53.5,0.0
73,45.125,0.0
74,30.0,0.0
75,34.75,0.0
76,49.375,0.0
77,48.5,0.0
78,42.625,0.0
79,32.5,0.0
80,32.375,0.0
81,30.375,0.0
82,28.0,0.0
83,39.875,0.0
84,49.875,0.0
85,45.25,0.0
86,34.25,0.0
87,57.0,0.0
88,35.875,0.0
89,44.0,0.0
90,50.5,0.0
91,59.875,0.0
92,48.875,0.0
93,36.375,0.0
94,51.625,0.0
95,30.375,0.0
96,41.125,0.0
97,48.25,0.0
98,59.375,0.0
99,43.0,0.0
100,40.5,0.0
101,42.125,0.0
102,46.5,0.0
103,50.75,0.0
104,70.25,0.0
105,48.125,0.0
106,40.75,0.0
107,45.5,0.0
108,62.375,0.0
109,39.375,0.0
110,52.75,0.0
111,57.0,0.0
112,66.25,0.0
113,27.75,0.0
