epoch,reward,entropy
0,18.5,0.6825830936431885
1,17.25,0.6829954385757446
2,21.875,0.6845885515213013
3,18.75,0.6813549995422363
4,16.125,0.6860337257385254
5,24.0,0.67972731590271
6,17.0,0.6845216155052185
7,21.375,0.6837637424468994
8,21.875,0.683326780796051
9,22.75,0.6807355880737305
10,17.625,0.6871060729026794
11,21.0,0.6781320571899414
12,18.625,0.6794857978820801
13,16.625,0.6816607713699341
14,24.875,0.6826261878013611
15,23.625,0.6850599050521851
16,22.375,0.6785973310470581
17,28.25,0.6841202974319458
18,27.0,0.683587908744812
19,30.5,0.6836016178131104
20,31.0,0.6820318698883057
21,32.25,0.6790199875831604
22,23.125,0.6872745752334595
23,25.125,0.6780214309692383
24,24.25,0.6820654273033142
25,24.125,0.6803664565086365
26,32.0,0.6794767379760742
27,28.625,0.685146689414978
28,25.625,0.6863865256309509
29,28.0,0.6816001534461975
30,27.125,0.6822806596755981
31,30.375,0.6823857426643372
32,25.25,0.6781390309333801
33,34.875,0.6816417574882507
34,27.75,0.6818584203720093
35,20.0,0.6831242442131042
36,22.75,0.6780946850776672
37,24.125,0.680811882019043
38,23.75,0.6811571717262268
39,39.5,0.6824786067008972
40,26.0,0.6825038194656372
41,32.125,0.6797550916671753
42,26.25,0.6805481910705566
43,35.875,0.6813426613807678
44,32.25,0.6798738241195679
45,34.375,0.6793922185897827
46,25.25,0.680087685585022
47,31.75,0.6763325929641724
48,46.125,0.681484043598175
49,30.625,0.6796590089797974
50,40.25,0.6750772595405579
51,36.0,0.6808229088783264
52,28.375,0.6688970923423767
53,29.5,0.6752131581306458
54,27.25,0.6780183911323547
55,26.25,0.6761900186538696
56,25.875,0.6762127876281738
57,25.125,0.6724511981010437
58,30.125,0.6740336418151855
59,35.375,0.6741093397140503
60,24.25,0.6734902262687683
61,36.125,0.6733272075653076
62,36.375,0.6722343564033508
63,19.375,0.6616922616958618
64,37.0,0.6703954935073853
65,24.375,0.667323887348175
66,38.0,0.6700096726417542
67,28.625,0.6688437461853027
68,37.75,0.6701447367668152
69,32.875,0.670181155204773
70,29.125,0.666554868221283
71,22.125,0.6651889085769653
72,35.0,0.6646621823310852
73,53.625,0.6672905087471008
74,32.5,0.6713107824325562
75,33.5,0.6639756560325623
76,40.75,0.6607311367988586
77,25.75,0.6577252745628357
78,40.25,0.6679580211639404
79,37.375,0.667060375213623
80,45.0,0.664013147354126
81,42.75,0.6665999889373779
82,34.75,0.6612240076065063
83,54.875,0.663142740726471
84,37.75,0.6672984957695007
85,31.625,0.6517773866653442
86,33.0,0.6369116902351379
87,35.875,0.6538777947425842
88,26.375,0.645107626914978
89,43.25,0.661649227142334
90,48.125,0.6603601574897766
91,50.875,0.6577367186546326
92,49.625,0.6524490714073181
93,34.75,0.6512197256088257
94,37.5,0.6464325189590454
95,39.0,0.6446499228477478
96,31.875,0.6489652991294861
97,43.875,0.6452837586402893
98,49.5,0.6502304077148438
99,36.875,0.6381787061691284
100,43.625,0.6475025415420532
101,48.875,0.6530131101608276
102,33.25,0.6333587765693665
103,38.25,0.6444746851921082
104,60.25,0.6436043381690979
105,37.875,0.6402822136878967
106,39.5,0.6428802013397217
107,44.875,0.6459192633628845
108,40.375,0.6352984309196472
109,40.875,0.6343802213668823
110,54.25,0.6446966528892517
111,39.5,0.6301128268241882
112,59.0,0.6310202479362488
113,49.375,0.6478923559188843
114,49.125,0.6443188786506653
115,51.25,0.6381598711013794
116,48.375,0.6489550471305847
117,44.375,0.6398727297782898
118,33.75,0.6297881007194519
119,62.875,0.6392552852630615
120,75.0,0.6380468010902405
121,44.5,0.636614978313446
122,47.375,0.6431825757026672
123,58.25,0.6409839987754822
124,38.25,0.6250122785568237
125,37.75,0.6280278563499451
126,68.375,0.6433525681495667
127,60.25,0.6389496922492981
128,62.625,0.6359348893165588
129,55.0,0.6296631693840027
130,59.5,0.6324982047080994
131,57.5,0.6429053544998169
132,51.0,0.6273113489151001
133,62.75,0.6405521035194397
134,52.5,0.6410481929779053
135,48.875,0.62908536195755
136,54.25,0.6231021881103516
137,68.375,0.6416550278663635
138,59.75,0.6296294331550598
139,49.625,0.6205108165740967
140,57.5,0.6315751075744629
141,46.125,0.6268326044082642
142,54.5,0.6290226578712463
143,47.75,0.6317722797393799
144,79.25,0.6353464126586914
145,43.75,0.6179015040397644
146,35.75,0.6087649464607239
147,75.375,0.6313366293907166
148,54.5,0.6250960230827332
149,65.5,0.6241165995597839
150,65.375,0.6240083575248718
151,76.125,0.6328656077384949
152,73.5,0.628555953502655
153,93.5,0.6298279166221619
154,56.125,0.6310952305793762
155,68.0,0.6265465021133423
156,52.625,0.6227003931999207
157,83.25,0.6278168559074402
158,55.125,0.6182928681373596
159,62.5,0.6236955523490906
160,75.125,0.6275633573532104
161,68.25,0.632269561290741
162,76.75,0.6212249994277954
163,44.25,0.6217014193534851
164,70.375,0.6314212679862976
165,75.5,0.6233295202255249
166,84.5,0.6247663497924805
167,66.25,0.6247282028198242
168,69.375,0.6149183511734009
169,66.625,0.6213096976280212
170,64.125,0.6123504638671875
171,96.125,0.6233259439468384
172,62.5,0.6168640851974487
173,71.875,0.6240934133529663
174,67.625,0.6199219822883606
175,70.375,0.6188585758209229
176,48.0,0.6053898334503174
177,102.5,0.6258422136306763
178,103.625,0.6254844665527344
179,79.625,0.6259852051734924
180,52.0,0.5989074110984802
181,77.375,0.6176254749298096
182,74.125,0.6209430694580078
183,78.0,0.6147339344024658
184,83.125,0.6153343915939331
