epoch,reward,entropy
0,17.5,0.6849853992462158
1,28.5,0.6823989748954773
2,19.125,0.680924654006958
3,20.5,0.6819202899932861
4,23.25,0.6811884641647339
5,26.875,0.6818568706512451
6,26.0,0.6783743500709534
7,23.625,0.6841011047363281
8,18.875,0.6814555525779724
9,28.625,0.681027352809906
10,18.125,0.680144727230072
11,17.375,0.6873143911361694
12,23.625,0.682567834854126
13,21.0,0.6845566630363464
14,15.375,0.6852843165397644
15,27.875,0.6847455501556396
16,24.125,0.6826853156089783
17,25.5,0.6818044781684875
18,28.75,0.6782606840133667
19,26.25,0.6771470308303833
20,34.875,0.6801723837852478
21,27.5,0.6757752895355225
22,32.5,0.6864691376686096
23,25.375,0.6841323971748352
24,25.75,0.6796086430549622
25,30.5,0.6839344501495361
26,26.25,0.6800467371940613
27,30.125,0.681618332862854
28,30.0,0.6767056584358215
29,29.125,0.6849357485771179
30,32.0,0.6772013902664185
31,49.125,0.6831860542297363
32,27.5,0.6807518601417542
33,34.0,0.6789594888687134
34,22.125,0.6675216555595398
35,25.125,0.6840634942054749
36,28.0,0.6823358535766602
37,25.75,0.6767557263374329
38,31.5,0.675723135471344
39,25.0,0.6774893403053284
40,30.0,0.6775243282318115
41,39.375,0.6754271984100342
42,37.25,0.6765996217727661
43,33.625,0.6736627221107483
44,29.5,0.6746279001235962
45,30.75,0.6697953343391418
46,33.25,0.6676709055900574
47,29.0,0.6688715219497681
48,36.375,0.675267219543457
49,22.625,0.6698474884033203
50,39.125,0.671188235282898
51,38.75,0.6709402799606323
52,34.75,0.6666410565376282
53,30.25,0.6611421704292297
54,46.375,0.6599884629249573
55,32.625,0.6605832576751709
56,33.25,0.6619692444801331
57,26.875,0.6593449115753174
58,39.875,0.6696076393127441
59,32.125,0.6610962152481079
60,43.875,0.6652966737747192
61,56.5,0.6666106581687927
62,43.75,0.6612876653671265
63,32.25,0.6563542485237122
64,36.5,0.657142698764801
65,44.375,0.6609430313110352
66,43.0,0.6584029197692871
67,38.875,0.6541318297386169
68,33.75,0.6562519073486328
69,36.5,0.6597861647605896
70,26.125,0.6458427906036377
71,41.625,0.6570368409156799
72,45.875,0.6549946069717407
73,42.375,0.6496692299842834
74,49.625,0.6503354907035828
75,25.375,0.6413240432739258
76,48.5,0.6538021564483643
77,45.5,0.6491419076919556
78,31.125,0.6374268531799316
79,40.75,0.6451831459999084
80,45.875,0.649041473865509
81,47.125,0.6404436230659485
82,67.375,0.6521106362342834
83,41.5,0.6525316834449768
84,55.5,0.6421868801116943
85,30.625,0.6336554288864136
86,41.75,0.6511020064353943
87,41.125,0.6474605798721313
88,47.0,0.6446805000305176
89,39.0,0.6381754875183105
90,59.625,0.6499635577201843
91,39.125,0.6395887136459351
92,37.125,0.641382098197937
93,46.25,0.6363036036491394
94,53.625,0.6446599960327148
95,36.375,0.6361566781997681
96,38.125,0.6450766921043396
97,51.75,0.6389257311820984
98,36.125,0.6337386965751648
99,49.125,0.6405100226402283
100,55.375,0.630554735660553
101,63.75,0.6452873945236206
102,65.5,0.63312828540802
103,54.125,0.6424728035926819
104,61.875,0.6406679749488831
105,39.625,0.6210379004478455
106,58.75,0.6296676397323608
107,62.875,0.6382808089256287
108,55.75,0.6206462383270264
109,54.625,0.6317708492279053
110,57.75,0.6234813928604126
111,45.875,0.613947331905365
112,65.5,0.6396360397338867
113,58.125,0.6425977349281311
114,52.0,0.6214659214019775
115,34.875,0.6104027032852173
116,43.625,0.6260049939155579
117,52.0,0.630548357963562
118,51.625,0.6229408979415894
119,47.75,0.6260920763015747
120,56.75,0.6334931254386902
121,55.375,0.6174367666244507
122,45.625,0.6195055246353149
123,94.5,0.6195257902145386
124,54.125,0.6278991103172302
125,64.5,0.6260977387428284
126,50.75,0.6178857684135437
127,66.875,0.6234336495399475
128,65.0,0.6193594932556152
129,66.625,0.6237261891365051
130,57.875,0.6249396204948425
131,95.25,0.6222760677337646
132,60.125,0.6212990880012512
133,66.875,0.6270774006843567
134,46.625,0.5998406410217285
135,52.5,0.628135621547699
136,92.875,0.6101195216178894
137,60.375,0.6146687865257263
138,102.5,0.6295678615570068
139,55.0,0.6152844429016113
140,53.375,0.6313679814338684
141,79.75,0.6233078241348267
142,49.5,0.6142318844795227
143,58.875,0.6213160157203674
144,63.0,0.617928147315979
145,64.0,0.6174509525299072
146,102.875,0.6139307022094727
147,85.25,0.6164361834526062
148,63.25,0.6087491512298584
149,73.25,0.6194809079170227
150,61.125,0.6099709868431091
151,90.125,0.607901394367218
152,78.75,0.6304457187652588
153,73.25,0.6147531867027283
154,69.375,0.6125667095184326
155,46.0,0.611926257610321
156,83.25,0.6142868399620056
157,62.875,0.6128672361373901
158,76.0,0.6052654385566711
159,64.375,0.604202926158905
160,69.75,0.6164169311523438
161,83.625,0.6148134469985962
162,114.375,0.6080703139305115
163,126.75,0.6169896125793457
164,72.75,0.6057618856430054
165,92.625,0.6221188902854919
166,98.875,0.6087068319320679
167,98.25,0.6084513664245605
168,75.75,0.5935453772544861
169,86.25,0.601538896560669
170,96.5,0.6017497777938843
171,86.875,0.614183247089386
172,102.5,0.6007076501846313
173,112.125,0.5971958637237549
174,92.25,0.5988698601722717
175,89.75,0.6040699481964111
176,106.5,0.6050761342048645
177,90.5,0.6016864776611328
178,85.625,0.588380753993988
179,122.625,0.6085454225540161
180,88.375,0.5919064283370972
181,105.0,0.6024021506309509
182,114.25,0.6014894843101501
183,152.625,0.6088594198226929
184,98.625,0.586117148399353
185,112.875,0.5911475419998169
186,118.75,0.6026278734207153
187,109.875,0.5904531478881836
188,152.75,0.6054684519767761
189,132.125,0.6002092361450195
190,106.0,0.5960474610328674
191,83.75,0.5914665460586548
192,134.5,0.5956055521965027
193,115.125,0.5975344181060791
194,131.125,0.5951067209243774
195,159.375,0.6011425256729126
196,140.0,0.6098142862319946
197,147.625,0.5935097932815552
198,130.875,0.5985686779022217
199,139.75,0.5978302359580994
200,128.125,0.591941237449646
201,159.375,0.6028530597686768
202,121.5,0.5983664989471436
203,140.5,0.5930544137954712
204,111.125,0.5888813138008118
205,191.875,0.5949777364730835
206,115.875,0.5883824825286865
207,129.875,0.5918256640434265
208,162.0,0.5962913632392883
209,115.375,0.5820133686065674
210,156.5,0.5977045893669128
211,136.125,0.5926418304443359
212,172.75,0.5923705101013184
213,194.375,0.5940637588500977
214,204.5,0.5952476859092712
215,144.625,0.5916951894760132
216,128.0,0.5766807198524475
217,214.75,0.5995504856109619
218,171.125,0.5830243825912476
219,238.375,0.6000741124153137
220,198.625,0.5963202118873596
221,256.125,0.5918225646018982
222,165.0,0.5959848165512085
223,240.0,0.5957897305488586
224,200.5,0.5859090089797974
225,296.125,0.5916563272476196
226,225.75,0.5956127047538757
227,239.5,0.5889276266098022
228,237.125,0.5887591242790222
229,274.5,0.597672700881958
230,196.625,0.5798896551132202
231,271.625,0.597052812576294
232,226.0,0.5842244029045105
233,236.0,0.5882036089897156
234,260.25,0.5960196256637573
