epoch,reward,entropy
0,18.375,0.0
1,23.875,0.0
2,24.25,0.0
3,18.125,0.0
4,24.0,0.0
5,33.625,0.0
6,22.5,0.0
7,27.625,0.0
8,20.875,0.0
9,30.875,0.0
10,27.0,0.0
11,37.375,0.0
12,41.0,0.0
13,24.5,0.0
14,29.0,0.0
15,36.125,0.0
16,35.625,0.0
17,44.75,0.0
18,44.625,0.0
19,34.375,0.0
20,33.75,0.0
21,39.625,0.0
22,33.875,0.0
23,39.375,0.0
24,37.875,0.0
25,43.125,0.0
26,56.5,0.0
27,60.25,0.0
28,56.375,0.0
29,42.0,0.0
30,64.75,0.0
31,41.625,0.0
32,50.625,0.0
33,41.0,0.0
34,80.0,0.0
35,59.125,0.0
36,56.25,0.0
37,53.125,0.0
38,67.125,0.0
39,75.125,0.0
40,65.25,0.0
41,48.25,0.0
42,72.25,0.0
43,74.5,0.0
44,50.25,0.0
45,45.625,0.0
46,57.875,0.0
47,62.75,0.0
48,64.875,0.0
49,98.5,0.0
50,102.25,0.0
51,74.625,0.0
52,73.75,0.0
53,54.0,0.0
54,69.875,0.0
55,114.0,0.0
56,79.875,0.0
57,98.375,0.0
58,61.75,0.0
59,78.375,0.0
60,88.125,0.0
61,107.0,0.0
62,101.75,0.0
63,82.125,0.0
64,84.25,0.0
65,129.125,0.0
66,101.25,0.0
67,114.5,0.0
68,144.125,0.0
69,74.625,0.0
70,113.25,0.0
71,89.625,0.0
72,90.25,0.0
73,132.625,0.0
74,151.125,0.0
75,175.75,0.0
76,149.875,0.0
77,186.625,0.0
78,153.125,0.0
79,111.125,0.0
80,119.25,0.0
81,111.375,0.0
82,142.625,0.0
83,127.75,0.0
84,156.5,0.0
85,146.875,0.0
86,195.25,0.0
87,146.75,0.0
88,130.375,0.0
89,116.75,0.0
90,132.75,0.0
91,215.375,0.0
92,145.0,0.0
93,130.75,0.0
94,204.5,0.0
95,218.875,0.0
96,159.875,0.0
97,188.5,0.0
98,132.125,0.0
99,148.625,0.0
100,164.375,0.0
101,213.125,0.0
102,178.5,0.0
103,215.625,0.0
104,154.875,0.0
105,200.875,0.0
106,241.375,0.0
107,145.75,0.0
108,188.625,0.0
109,195.625,0.0
110,218.25,0.0
111,212.5,0.0
112,215.375,0.0
113,226.75,0.0
114,172.625,0.0
115,179.625,0.0
116,271.5,0.0
117,213.0,0.0
118,235.0,0.0
119,207.375,0.0
120,228.0,0.0
121,207.875,0.0
122,254.875,0.0
123,265.625,0.0
124,230.625,0.0
125,244.625,0.0
126,235.875,0.0
127,318.875,0.0
128,181.125,0.0
129,285.0,0.0
130,233.625,0.0
131,269.75,0.0
132,208.0,0.0
133,297.625,0.0
134,243.625,0.0
135,214.0,0.0
136,199.625,0.0
137,189.0,0.0
138,213.375,0.0
139,251.375,0.0
140,263.0,0.0
141,241.0,0.0
142,198.125,0.0
143,247.375,0.0
144,259.25,0.0
145,273.75,0.0
146,301.25,0.0
147,345.375,0.0
148,268.75,0.0
149,237.875,0.0
150,333.125,0.0
151,308.25,0.0
152,366.625,0.0
153,325.625,0.0
154,272.625,0.0
155,368.75,0.0
156,356.125,0.0
157,320.75,0.0
158,303.25,0.0
159,251.125,0.0
160,329.625,0.0
161,347.5,0.0
162,277.375,0.0
163,253.125,0.0
164,179.0,0.0
165,252.375,0.0
166,296.375,0.0
167,318.125,0.0
168,311.5,0.0
169,293.5,0.0
170,282.375,0.0
171,318.125,0.0
172,316.75,0.0
173,288.625,0.0
174,386.125,0.0
175,342.0,0.0
176,311.625,0.0
177,317.375,0.0
178,321.0,0.0
179,313.0,0.0
180,315.125,0.0
181,285.125,0.0
182,324.25,0.0
183,340.375,0.0
184,361.25,0.0
185,265.25,0.0
186,355.5,0.0
187,325.375,0.0
188,368.875,0.0
189,411.125,0.0
190,290.125,0.0
191,295.875,0.0
192,318.0,0.0
193,392.125,0.0
194,365.625,0.0
195,288.25,0.0
196,325.0,0.0
197,238.875,0.0
198,323.25,0.0
199,357.625,0.0
200,307.75,0.0
201,325.25,0.0
202,406.5,0.0
203,340.375,0.0
204,318.25,0.0
205,304.0,0.0
206,398.625,0.0
207,397.75,0.0
208,433.125,0.0
209,418.5,0.0
210,454.375,0.0
211,424.125,0.0
212,420.375,0.0
213,380.75,0.0
214,367.125,0.0
215,412.125,0.0
216,358.75,0.0
217,430.875,0.0
218,411.75,0.0
219,387.25,0.0
220,451.0,0.0
221,381.25,0.0
222,372.125,0.0
223,426.25,0.0
224,384.5,0.0
225,417.0,0.0
226,421.5,0.0
227,362.75,0.0
228,437.125,0.0
229,400.75,0.0
230,414.125,0.0
231,411.875,0.0
232,413.0,0.0
233,452.75,0.0
234,422.375,0.0
235,397.25,0.0
236,388.5,0.0
237,394.25,0.0
238,463.375,0.0
239,421.625,0.0
240,441.375,0.0
241,439.5,0.0
242,437.0,0.0
243,418.875,0.0
244,446.125,0.0
245,355.75,0.0
246,475.25,0.0
247,364.0,0.0
248,347.625,0.0
249,373.5,0.0
250,368.875,0.0
251,265.125,0.0
252,351.25,0.0
