epoch,reward,entropy
0,22.5,0.0
1,22.0,0.0
2,18.5,0.0
3,22.75,0.0
4,22.0,0.0
5,19.125,0.0
6,24.25,0.0
7,30.375,0.0
8,23.875,0.0
9,25.5,0.0
10,26.75,0.0
11,25.625,0.0
12,25.0,0.0
13,27.125,0.0
14,24.625,0.0
15,22.75,0.0
16,28.5,0.0
17,29.75,0.0
18,33.875,0.0
19,24.625,0.0
20,20.25,0.0
21,24.5,0.0
22,38.5,0.0
23,43.5,0.0
24,32.125,0.0
25,37.125,0.0
26,39.0,0.0
27,31.25,0.0
28,33.5,0.0
29,32.375,0.0
30,25.75,0.0
31,34.375,0.0
32,36.125,0.0
33,41.5,0.0
34,28.0,0.0
35,45.375,0.0
36,35.875,0.0
37,39.5,0.0
38,32.625,0.0
39,51.125,0.0
40,33.875,0.0
41,29.75,0.0
42,54.25,0.0
43,35.0,0.0
44,47.125,0.0
45,27.5,0.0
46,48.125,0.0
47,39.125,0.0
48,41.375,0.0
49,53.125,0.0
50,34.75,0.0
51,29.25,0.0
52,41.375,0.0
53,41.5,0.0
54,47.25,0.0
55,43.75,0.0
56,72.375,0.0
57,38.25,0.0
58,48.25,0.0
59,65.875,0.0
60,33.25,0.0
61,47.5,0.0
62,52.75,0.0
63,54.75,0.0
64,41.5,0.0
65,60.25,0.0
66,50.125,0.0
67,48.375,0.0
68,48.25,0.0
69,60.75,0.0
70,47.375,0.0
71,51.25,0.0
72,50.5,0.0
73,30.375,0.0
74,51.875,0.0
75,60.375,0.0
76,53.5,0.0
77,53.625,0.0
78,44.75,0.0
79,59.75,0.0
80,69.125,0.0
81,49.0,0.0
82,61.75,0.0
83,54.875,0.0
84,60.625,0.0
85,68.5,0.0
86,49.875,0.0
87,59.375,0.0
88,45.0,0.0
89,74.625,0.0
90,85.875,0.0
91,73.5,0.0
92,76.375,0.0
93,68.25,0.0
94,56.75,0.0
95,69.75,0.0
96,68.25,0.0
97,52.5,0.0
98,54.375,0.0
99,82.375,0.0
100,69.5,0.0
101,58.875,0.0
102,44.0,0.0
103,62.0,0.0
104,91.75,0.0
105,83.625,0.0
106,89.25,0.0
107,75.75,0.0
108,69.125,0.0
109,89.875,0.0
110,66.25,0.0
111,99.625,0.0
112,85.125,0.0
113,89.0,0.0
114,89.625,0.0
115,106.75,0.0
116,96.875,0.0
117,87.75,0.0
118,102.625,0.0
119,102.75,0.0
120,77.625,0.0
121,87.0,0.0
122,105.625,0.0
123,86.625,0.0
124,92.625,0.0
125,123.0,0.0
126,112.75,0.0
127,122.25,0.0
128,72.75,0.0
129,109.0,0.0
130,172.375,0.0
131,96.625,0.0
132,122.625,0.0
133,120.625,0.0
134,152.25,0.0
135,95.875,0.0
136,135.25,0.0
137,107.125,0.0
138,138.0,0.0
139,118.375,0.0
140,144.875,0.0
141,149.25,0.0
142,223.25,0.0
143,195.875,0.0
144,204.0,0.0
145,220.75,0.0
146,189.25,0.0
147,229.375,0.0
148,190.5,0.0
149,207.5,0.0
150,178.125,0.0
151,190.625,0.0
152,177.5,0.0
153,114.125,0.0
154,141.125,0.0
155,188.75,0.0
156,208.75,0.0
